matricula,verba,consignatario,valor_da_parcela,prazo_total,prazo_restante,natureza,margem_inicial,margem_atual,margem_disponivel,qtde_renegociados,percentual_renegociacao
106778,424,banco bradesco,1019.98,84,52,novo contrato,1282.12,262.14,20.45,0,0.0
109361,424,banco bradesco,1375.48,44,10,novo contrato,,,,0,0.0
11211,427,caixa econômica federal,333.99,144,131,novo contrato,919.19,85.2,9.27,0,0.0
11211,427,caixa econômica federal,500.0,144,112,novo contrato,919.19,85.2,9.27,0,0.0
11221,424,banco bradesco,353.84,120,108,renegociação,901.81,-69.24,0.0,12,2.3333333333333335
11221,427,caixa econômica federal,73.0,144,140,novo contrato,901.81,-69.24,0.0,12,2.3333333333333335
11221,427,caixa econômica federal,194.29,144,110,novo contrato,901.81,-69.24,0.0,12,2.3333333333333335
11221,427,caixa econômica federal,349.92,144,110,novo contrato,901.81,-69.24,0.0,12,2.3333333333333335
11241,424,banco bradesco,880.09,120,104,renegociação,905.29,25.2,2.78,2,1.5
11413,424,banco bradesco,1000.8,72,63,renegociação,1083.61,82.81,7.64,1,1.0
117112,424,banco bradesco,384.18,43,21,novo contrato,,,,0,0.0
11791,424,banco bradesco,596.68,24,24,novo contrato,2030.84,1434.16,70.62,0,0.0
11801,424,banco bradesco,303.14,120,120,renegociação,2067.34,4.98,0.24,16,1.25
11801,424,banco bradesco,1759.22,120,119,renegociação,2067.34,4.98,0.24,16,1.25
11811,424,banco bradesco,668.26,120,117,renegociação,2067.34,152.66,7.38,16,1.375
11811,424,banco bradesco,1246.42,120,108,renegociação,2067.34,152.66,7.38,16,1.375
11821,404,banco do brasil,116.46,72,72,novo contrato,2085.59,1.0,0.05,4,2.0
11821,404,banco do brasil,269.0,72,71,novo contrato,2085.59,1.0,0.05,4,2.0
11821,424,banco bradesco,181.4,96,59,novo contrato,2085.59,1.0,0.05,4,2.0
11821,424,banco bradesco,1517.73,120,86,renegociação,2085.59,1.0,0.05,4,2.0
11831,424,banco bradesco,1630.35,120,93,renegociação,1896.8,266.45,14.05,1,2.0
11851,424,banco bradesco,476.01,60,58,renegociação,1564.08,174.14,11.13,2,3.0
11851,424,banco bradesco,913.93,96,31,novo contrato,1564.08,174.14,11.13,2,3.0
12732,424,banco bradesco,305.25,44,25,novo contrato,,,,0,0.0
139514,424,banco bradesco,45.0,60,44,novo contrato,571.05,56.34,9.87,0,0.0
139514,424,banco bradesco,469.71,96,71,novo contrato,571.05,56.34,9.87,0,0.0
14853,424,banco bradesco,38.09,120,108,novo contrato,1244.61,40.97,3.29,3,1.0
14853,424,banco bradesco,51.37,120,112,novo contrato,1244.61,40.97,3.29,3,1.0
14853,424,banco bradesco,1114.18,120,102,renegociação,1244.61,40.97,3.29,3,1.0
15151,424,banco bradesco,364.34,120,115,renegociação,0.0,-364.34,0.0,1,2.0
1541,424,banco bradesco,32.97,120,109,novo contrato,2730.32,248.26,9.09,4,1.5
1541,424,banco bradesco,2449.09,120,110,renegociação,2730.32,248.26,9.09,4,1.5
155551,424,banco bradesco,143.0,35,19,novo contrato,,,,0,0.0
1561,404,banco do brasil,1080.24,60,22,novo contrato,,,,0,0.0
1581,427,caixa econômica federal,758.03,77,56,novo contrato,,,,3,2.3333333333333335
158571,424,banco bradesco,51.48,43,25,novo contrato,,,,0,0.0
158571,424,banco bradesco,304.63,45,25,novo contrato,,,,0,0.0
16052,424,banco bradesco,289.67,66,49,novo contrato,,,,0,0.0
1641,424,banco bradesco,1017.03,36,7,renegociação,2494.82,1477.79,59.23,1,2.0
167802,424,banco bradesco,369.59,48,39,novo contrato,,,,0,0.0
1701,404,banco do brasil,134.65,72,47,novo contrato,,,,0,0.0
1701,404,banco do brasil,405.49,60,19,novo contrato,,,,0,0.0
17664,424,banco bradesco,150.0,44,23,novo contrato,,,,0,0.0
17664,424,banco bradesco,206.11,40,24,novo contrato,,,,0,0.0
1771,404,banco do brasil,214.06,72,71,novo contrato,555.97,0.35,0.06,0,0.0
1771,404,banco do brasil,341.56,72,18,novo contrato,555.97,0.35,0.06,0,0.0
177441,424,banco bradesco,998.65,120,115,renegociação,1068.49,69.84,6.54,2,1.5
177521,424,banco bradesco,70.04,120,119,novo contrato,,,,0,0.0
177521,424,banco bradesco,294.47,120,118,novo contrato,,,,0,0.0
177521,424,banco bradesco,559.86,96,81,novo contrato,,,,0,0.0
177601,424,banco bradesco,195.0,120,120,novo contrato,,,,0,0.0
177601,424,banco bradesco,309.81,120,118,novo contrato,,,,0,0.0
177601,424,banco bradesco,356.42,120,112,novo contrato,,,,0,0.0
178171,424,banco bradesco,1069.13,48,31,novo contrato,1304.7,235.57,18.06,0,0.0
178411,424,banco bradesco,568.06,60,59,novo contrato,1295.24,513.52,39.65,0,0.0
178411,427,caixa econômica federal,213.66,24,16,novo contrato,1295.24,513.52,39.65,0,0.0
180741,424,banco bradesco,636.3,12,8,novo contrato,1282.12,645.82,50.37,0,0.0
181121,424,banco bradesco,394.27,120,101,novo contrato,,,,0,0.0
181201,424,banco bradesco,785.15,120,111,renegociação,782.0,-3.15,0.0,2,1.0
181391,424,banco bradesco,130.5,120,112,novo contrato,895.12,-446.37,0.0,15,3.3333333333333335
181391,424,banco bradesco,323.21,120,115,novo contrato,895.12,-446.37,0.0,15,3.3333333333333335
181391,424,banco bradesco,502.64,118,109,renegociação,895.12,-446.37,0.0,15,3.3333333333333335
181391,427,caixa econômica federal,98.89,144,110,novo contrato,895.12,-446.37,0.0,15,3.3333333333333335
181391,427,caixa econômica federal,286.25,144,109,novo contrato,895.12,-446.37,0.0,15,3.3333333333333335
181471,427,caixa econômica federal,115.71,144,131,renegociação,582.24,-252.5,0.0,6,3.0
181471,427,caixa econômica federal,139.08,111,98,novo contrato,582.24,-252.5,0.0,6,3.0
181471,427,caixa econômica federal,579.95,144,131,renegociação,582.24,-252.5,0.0,6,3.0
181631,424,banco bradesco,33.27,120,119,novo contrato,830.37,-96.58,0.0,18,1.8333333333333333
181631,424,banco bradesco,69.96,120,112,novo contrato,830.37,-96.58,0.0,18,1.8333333333333333
181631,424,banco bradesco,823.72,120,110,renegociação,830.37,-96.58,0.0,18,1.8333333333333333
181711,424,banco bradesco,41.83,120,117,novo contrato,,,,2,2.0
181711,424,banco bradesco,723.95,120,101,renegociação,,,,2,2.0
182101,424,banco bradesco,180.47,120,115,novo contrato,1230.44,43.24,3.51,0,0.0
182101,424,banco bradesco,1006.73,120,95,novo contrato,1230.44,43.24,3.51,0,0.0
184221,424,banco bradesco,128.86,48,13,novo contrato,0.0,-128.86,0.0,0,0.0
1871,424,banco bradesco,34.88,120,114,novo contrato,711.15,1.01,0.14,21,2.3333333333333335
1871,424,banco bradesco,39.43,120,119,novo contrato,711.15,1.01,0.14,21,2.3333333333333335
1871,424,banco bradesco,40.95,120,109,novo contrato,711.15,1.01,0.14,21,2.3333333333333335
1871,427,caixa econômica federal,33.55,144,136,renegociação,711.15,1.01,0.14,21,2.3333333333333335
1871,427,caixa econômica federal,48.6,144,136,renegociação,711.15,1.01,0.14,21,2.3333333333333335
1871,427,caixa econômica federal,105.74,144,136,renegociação,711.15,1.01,0.14,21,2.3333333333333335
1871,427,caixa econômica federal,406.99,144,109,novo contrato,711.15,1.01,0.14,21,2.3333333333333335
18763,424,banco bradesco,300.0,44,21,novo contrato,,,,0,0.0
188721,424,banco bradesco,89.89,120,107,novo contrato,,,,0,0.0
188721,424,banco bradesco,1106.6,120,103,novo contrato,,,,0,0.0
189021,424,banco bradesco,89.77,120,102,novo contrato,844.51,68.76,8.14,0,0.0
189021,424,banco bradesco,206.1,120,91,novo contrato,844.51,68.76,8.14,0,0.0
189021,424,banco bradesco,479.88,96,59,novo contrato,844.51,68.76,8.14,0,0.0
192911,424,banco bradesco,421.02,120,103,novo contrato,1267.69,134.67,10.62,2,1.0
192911,424,banco bradesco,712.0,69,35,renegociação,1267.69,134.67,10.62,2,1.0
1941,404,banco do brasil,1732.99,72,69,novo contrato,2513.06,247.42,9.85,2,5.0
1941,424,banco bradesco,532.65,120,108,renegociação,2513.06,247.42,9.85,2,5.0
194371,424,banco bradesco,349.96,96,81,novo contrato,,,,0,0.0
194611,424,banco bradesco,198.21,120,112,novo contrato,1277.64,43.47,3.4,0,0.0
194611,424,banco bradesco,1035.96,120,101,novo contrato,1277.64,43.47,3.4,0,0.0
194701,424,banco bradesco,1127.97,120,109,novo contrato,1257.73,129.76,10.32,0,0.0
194881,424,banco bradesco,159.39,5,5,novo contrato,1282.12,181.52,14.16,0,0.0
194881,424,banco bradesco,226.3,36,29,novo contrato,1282.12,181.52,14.16,0,0.0
194881,424,banco bradesco,355.08,36,26,novo contrato,1282.12,181.52,14.16,0,0.0
194881,424,banco bradesco,359.83,36,24,novo contrato,1282.12,181.52,14.16,0,0.0
194961,424,banco bradesco,460.81,50,31,novo contrato,1068.49,607.68,56.87,0,0.0
1951,404,banco do brasil,287.38,72,36,novo contrato,2393.38,818.62,34.2,0,0.0
1951,404,banco do brasil,1287.38,48,46,novo contrato,2393.38,818.62,34.2,0,0.0
195181,424,banco bradesco,71.31,12,11,novo contrato,1075.57,225.46,20.96,16,1.75
195181,424,banco bradesco,116.77,24,18,novo contrato,1075.57,225.46,20.96,16,1.75
195181,424,banco bradesco,197.17,120,113,novo contrato,1075.57,225.46,20.96,16,1.75
195181,424,banco bradesco,464.86,120,109,renegociação,1075.57,225.46,20.96,16,1.75
196071,424,banco bradesco,23.61,72,64,novo contrato,1305.2,-5.49,0.0,30,1.0
196071,424,banco bradesco,49.8,96,95,novo contrato,1305.2,-5.49,0.0,30,1.0
196071,424,banco bradesco,72.87,96,86,novo contrato,1305.2,-5.49,0.0,30,1.0
196071,424,banco bradesco,177.71,95,87,renegociação,1305.2,-5.49,0.0,30,1.0
196071,424,banco bradesco,324.53,96,87,renegociação,1305.2,-5.49,0.0,30,1.0
196071,427,caixa econômica federal,662.17,120,85,novo contrato,1305.2,-5.49,0.0,30,1.0
196311,424,banco bradesco,979.29,120,100,renegociação,1305.2,325.91,24.97,2,1.0
196901,424,banco bradesco,1279.98,120,119,renegociação,1319.63,39.65,3.0,2,1.0
1971,404,banco do brasil,537.62,72,31,novo contrato,1137.52,599.9,52.74,0,0.0
197121,427,caixa econômica federal,694.52,60,27,novo contrato,1277.64,583.12,45.64,0,0.0
197551,424,banco bradesco,185.88,14,14,novo contrato,1282.12,8.67,0.68,0,0.0
197551,424,banco bradesco,491.59,12,12,novo contrato,1282.12,8.67,0.68,0,0.0
197551,424,banco bradesco,595.98,12,7,novo contrato,1282.12,8.67,0.68,0,0.0
19801,424,banco bradesco,1383.59,96,66,novo contrato,,,,0,0.0
1981,424,banco bradesco,128.62,36,22,novo contrato,,,,0,0.0
198601,427,caixa econômica federal,1240.99,144,133,renegociação,1295.24,54.25,4.19,1,1.0
198951,424,banco bradesco,344.88,120,112,novo contrato,1304.7,86.5,6.63,0,0.0
198951,424,banco bradesco,873.32,72,51,novo contrato,1304.7,86.5,6.63,0,0.0
199921,424,banco bradesco,933.89,60,34,renegociação,1305.2,371.31,28.45,2,1.0
2001,424,banco bradesco,193.08,120,111,renegociação,571.15,48.61,8.51,6,2.0
2001,424,banco bradesco,329.46,120,111,renegociação,571.15,48.61,8.51,6,2.0
200281,424,banco bradesco,198.22,120,114,renegociação,1244.61,44.56,3.58,10,1.0
200281,424,banco bradesco,1001.83,120,111,renegociação,1244.61,44.56,3.58,10,1.0
200441,404,banco do brasil,277.99,72,49,novo contrato,,,,0,0.0
200521,424,banco bradesco,1250.0,120,114,renegociação,1334.63,84.63,6.34,1,1.0
200601,424,banco bradesco,1197.72,72,64,renegociação,1244.61,46.89,3.77,1,1.0
201091,404,banco do brasil,407.43,31,31,novo contrato,1282.12,874.69,68.22,0,0.0
20111,404,banco do brasil,475.6,39,35,novo contrato,844.29,368.69,43.67,0,0.0
201411,424,banco bradesco,1148.24,120,105,novo contrato,1295.24,147.0,11.35,0,0.0
201681,424,banco bradesco,1294.85,106,106,renegociação,1295.24,0.39,0.03,10,1.2
202221,424,banco bradesco,267.62,120,106,novo contrato,1282.12,230.75,18.0,3,2.0
202221,424,banco bradesco,271.91,120,93,novo contrato,1282.12,230.75,18.0,3,2.0
202221,424,banco bradesco,511.84,117,117,renegociação,1282.12,230.75,18.0,3,2.0
202491,424,banco bradesco,224.28,120,112,renegociação,1244.61,40.13,3.22,12,1.0
202491,427,caixa econômica federal,100.0,120,113,novo contrato,1244.61,40.13,3.22,12,1.0
202491,427,caixa econômica federal,880.2,130,122,renegociação,1244.61,40.13,3.22,12,1.0
202571,424,banco bradesco,532.48,70,62,novo contrato,1304.7,772.22,59.19,0,0.0
203111,424,banco bradesco,21.58,120,118,novo contrato,1282.12,0.23,0.02,28,1.0
203111,424,banco bradesco,40.9,120,120,novo contrato,1282.12,0.23,0.02,28,1.0
203111,424,banco bradesco,552.79,120,117,renegociação,1282.12,0.23,0.02,28,1.0
203111,427,caixa econômica federal,666.62,144,141,renegociação,1282.12,0.23,0.02,28,1.0
203201,404,banco do brasil,1076.82,72,72,novo contrato,1362.78,285.96,20.98,1,3.0
203461,404,banco do brasil,661.86,36,36,novo contrato,1282.12,620.26,48.38,0,0.0
203541,424,banco bradesco,371.23,48,40,novo contrato,1295.24,924.01,71.34,0,0.0
203971,424,banco bradesco,78.43,12,5,novo contrato,1175.11,51.1,4.35,6,1.0
203971,424,banco bradesco,494.88,72,63,renegociação,1175.11,51.1,4.35,6,1.0
203971,424,banco bradesco,550.7,48,15,novo contrato,1175.11,51.1,4.35,6,1.0
205751,424,banco bradesco,1150.0,60,50,novo contrato,1244.61,94.61,7.6,0,0.0
205831,424,banco bradesco,345.23,120,106,renegociação,1214.07,127.01,10.46,12,1.0
205831,424,banco bradesco,741.83,120,106,renegociação,1214.07,127.01,10.46,12,1.0
206481,424,banco bradesco,1052.47,72,51,novo contrato,1282.12,229.65,17.91,0,0.0
206641,424,banco bradesco,703.01,60,32,novo contrato,1244.61,541.6,43.52,0,0.0
2081,424,banco bradesco,35.43,120,107,renegociação,571.15,0.09,0.02,12,2.0
2081,424,banco bradesco,40.02,120,119,novo contrato,571.15,0.09,0.02,12,2.0
2081,424,banco bradesco,43.04,120,108,novo contrato,571.15,0.09,0.02,12,2.0
2081,427,caixa econômica federal,452.57,144,127,novo contrato,571.15,0.09,0.02,12,2.0
210241,424,banco bradesco,597.3,120,99,renegociação,1334.63,737.33,55.25,1,1.0
210671,424,banco bradesco,1061.28,120,94,novo contrato,1334.63,273.35,20.48,0,0.0
210751,424,banco bradesco,201.75,48,32,novo contrato,1295.24,283.98,21.92,4,1.5
210751,424,banco bradesco,809.51,120,120,renegociação,1295.24,283.98,21.92,4,1.5
211,404,banco do brasil,369.17,72,21,novo contrato,571.15,50.33,8.81,0,0.0
211,424,banco bradesco,151.65,72,20,novo contrato,571.15,50.33,8.81,0,0.0
2111,424,banco bradesco,87.7,120,119,novo contrato,2476.57,0.21,0.01,18,1.3333333333333333
2111,424,banco bradesco,303.94,120,120,renegociação,2476.57,0.21,0.01,18,1.3333333333333333
2111,424,banco bradesco,2084.72,120,120,renegociação,2476.57,0.21,0.01,18,1.3333333333333333
211211,424,banco bradesco,1068.97,72,40,novo contrato,1305.2,236.23,18.1,0,0.0
212021,424,banco bradesco,394.94,84,65,novo contrato,1244.61,157.7,12.67,2,1.0
212021,424,banco bradesco,691.97,80,80,renegociação,1244.61,157.7,12.67,2,1.0
212101,424,banco bradesco,266.92,36,24,renegociação,1244.61,343.21,27.58,4,1.0
212101,424,banco bradesco,634.48,36,24,renegociação,1244.61,343.21,27.58,4,1.0
213001,424,banco bradesco,45.56,120,119,novo contrato,1194.71,-4.06,0.0,12,1.0
213001,424,banco bradesco,812.34,120,115,renegociação,1194.71,-4.06,0.0,12,1.0
213001,427,caixa econômica federal,39.23,144,131,novo contrato,1194.71,-4.06,0.0,12,1.0
213001,427,caixa econômica federal,51.76,144,125,novo contrato,1194.71,-4.06,0.0,12,1.0
213001,427,caixa econômica federal,81.88,120,99,novo contrato,1194.71,-4.06,0.0,12,1.0
213001,427,caixa econômica federal,168.0,120,95,novo contrato,1194.71,-4.06,0.0,12,1.0
2131,404,banco do brasil,278.65,72,42,renegociação,571.15,292.5,51.21,1,2.0
213501,424,banco bradesco,692.59,48,22,novo contrato,1257.73,565.14,44.93,0,0.0
214071,424,banco bradesco,91.06,120,111,novo contrato,1267.69,0.7,0.06,6,1.0
214071,424,banco bradesco,1175.93,120,120,renegociação,1267.69,0.7,0.06,6,1.0
2141,424,banco bradesco,33.86,115,109,novo contrato,676.15,42.67,6.31,2,6.0
2141,424,banco bradesco,599.62,120,101,renegociação,676.15,42.67,6.31,2,6.0
2151,424,banco bradesco,460.32,48,36,renegociação,744.26,283.94,38.15,1,2.0
2161,404,banco do brasil,506.51,72,44,novo contrato,0.0,-506.51,0.0,0,0.0
2181,424,banco bradesco,376.86,34,27,renegociação,,,,1,1.0
2211,424,banco bradesco,87.52,120,119,renegociação,662.53,0.71,0.11,12,1.3333333333333333
2211,424,banco bradesco,574.3,120,112,renegociação,662.53,0.71,0.11,12,1.3333333333333333
221871,424,banco bradesco,54.71,120,119,novo contrato,1088.59,14.82,1.36,0,0.0
221871,424,banco bradesco,1019.06,120,111,novo contrato,1088.59,14.82,1.36,0,0.0
222171,424,banco bradesco,25.08,120,103,novo contrato,1244.61,4.7,0.38,0,0.0
222171,424,banco bradesco,51.77,120,110,novo contrato,1244.61,4.7,0.38,0,0.0
222171,424,banco bradesco,93.83,120,108,novo contrato,1244.61,4.7,0.38,0,0.0
222171,424,banco bradesco,228.17,120,103,novo contrato,1244.61,4.7,0.38,0,0.0
222171,424,banco bradesco,841.06,120,99,novo contrato,1244.61,4.7,0.38,0,0.0
222331,424,banco bradesco,114.3,5,5,novo contrato,1282.12,1046.27,81.6,0,0.0
222331,424,banco bradesco,121.55,10,8,novo contrato,1282.12,1046.27,81.6,0,0.0
222411,424,banco bradesco,177.49,120,110,novo contrato,1282.12,41.51,3.24,0,0.0
222411,424,banco bradesco,1063.12,120,100,novo contrato,1282.12,41.51,3.24,0,0.0
223221,424,banco bradesco,1218.47,54,52,novo contrato,1305.2,86.73,6.64,0,0.0
223651,424,banco bradesco,1260.0,56,47,novo contrato,1305.2,45.2,3.46,0,0.0
223731,424,banco bradesco,355.27,24,14,novo contrato,1325.1,969.83,73.19,0,0.0
223901,424,banco bradesco,110.19,120,118,novo contrato,502.42,37.19,7.4,0,0.0
223901,424,banco bradesco,355.04,120,106,novo contrato,502.42,37.19,7.4,0,0.0
224381,427,caixa econômica federal,93.0,144,134,novo contrato,1305.2,54.72,4.19,0,0.0
224381,427,caixa econômica federal,234.95,144,129,novo contrato,1305.2,54.72,4.19,0,0.0
224381,427,caixa econômica federal,250.85,144,130,novo contrato,1305.2,54.72,4.19,0,0.0
224381,427,caixa econômica federal,671.68,144,126,novo contrato,1305.2,54.72,4.19,0,0.0
224891,424,banco bradesco,123.14,120,110,novo contrato,1282.12,-4.94,0.0,2,1.0
224891,424,banco bradesco,1163.92,120,119,renegociação,1282.12,-4.94,0.0,2,1.0
2301,424,banco bradesco,399.1,96,84,novo contrato,,,,0,0.0
23053,404,banco do brasil,44.47,72,30,novo contrato,675.16,40.8,6.04,12,2.0
23053,424,banco bradesco,25.06,120,107,novo contrato,675.16,40.8,6.04,12,2.0
23053,424,banco bradesco,27.6,120,115,novo contrato,675.16,40.8,6.04,12,2.0
23053,424,banco bradesco,32.99,120,106,novo contrato,675.16,40.8,6.04,12,2.0
23053,424,banco bradesco,50.71,120,96,novo contrato,675.16,40.8,6.04,12,2.0
23053,424,banco bradesco,453.53,120,111,renegociação,675.16,40.8,6.04,12,2.0
2311,424,banco bradesco,482.38,120,102,novo contrato,555.97,73.59,13.24,0,0.0
2321,424,banco bradesco,102.85,120,94,novo contrato,636.53,47.49,7.46,3,2.0
2321,424,banco bradesco,132.85,120,101,novo contrato,636.53,47.49,7.46,3,2.0
2321,424,banco bradesco,353.34,120,110,renegociação,636.53,47.49,7.46,3,2.0
232481,427,caixa econômica federal,197.01,144,142,novo contrato,766.1,0.17,0.02,0,0.0
232481,427,caixa econômica federal,568.92,144,138,novo contrato,766.1,0.17,0.02,0,0.0
232641,427,caixa econômica federal,476.6,120,113,novo contrato,766.1,289.5,37.79,0,0.0
232801,427,caixa econômica federal,743.0,144,140,novo contrato,766.1,23.1,3.02,0,0.0
232991,424,banco bradesco,22.73,120,118,novo contrato,766.1,-104.96,0.0,0,0.0
232991,424,banco bradesco,105.13,120,119,novo contrato,766.1,-104.96,0.0,0,0.0
232991,427,caixa econômica federal,153.21,144,139,novo contrato,766.1,-104.96,0.0,0,0.0
232991,427,caixa econômica federal,589.99,144,138,novo contrato,766.1,-104.96,0.0,0,0.0
2341,424,banco bradesco,135.35,120,119,renegociação,662.53,1.25,0.19,10,1.4
2341,424,banco bradesco,525.93,120,114,renegociação,662.53,1.25,0.19,10,1.4
2401,424,banco bradesco,328.21,60,50,novo contrato,647.35,319.14,49.3,0,0.0
24103,424,banco bradesco,287.56,36,1,novo contrato,2064.07,1776.51,86.07,0,0.0
2411,424,banco bradesco,43.56,120,113,novo contrato,,,,6,1.5
2411,424,banco bradesco,124.0,120,99,renegociação,,,,6,1.5
2411,424,banco bradesco,363.58,120,103,renegociação,,,,6,1.5
2421,424,banco bradesco,276.17,120,102,novo contrato,485.91,-334.58,0.0,4,2.0
